features_sorted,feature_names_EWRE
4374,reciprocate
2006,fate
2518,henceforth
5627,torn
2738,indecisive
1812,enrol
5518,texting
4324,rash
4971,simplicity
206,angry
3779,oversee
6063,white
867,cheat
4520,require
2223,fruit
3213,lunge
2335,god
2849,international
788,carla
3375,meter
4497,rented
3594,nigh
5508,terrifies
5454,tartrate
5474,technically
433,banner
5153,spike
2635,hygienic
2611,hubris
1868,everlasting
113,africa
2706,impression
4541,resign
2922,jeopardized
4810,secretly
3972,pig
4096,powerful
3045,laughter
181,amazingly
3926,persists
4565,restore
6086,wise
3438,mixing
3422,misheard
3060,league
2534,hinders
3218,machine
1217,council
2908,jack
4718,sanitize
4716,sanitation
342,asymptomatic
721,button
6095,withstand
1914,exhaustion
2105,fling
1170,controllable
4181,productively
498,believable
1593,dizziness
5880,vaguely
3189,lose
4307,ram
1522,disbelief
3970,pierce
515,betrayed
5459,taunt
4984,sinking
2597,hound
4321,rapidly
2028,feels
3587,newspaper
1893,exception
4087,potato
549,blackpool
1907,excuse
2861,intimacy
1559,display
5365,sunshine
2358,grand
4017,playing
2214,frighten
5355,summary
1186,cooky
3130,limbo
5087,solitary
4652,rotation
2838,intercalated
4230,prudent
5892,variety
437,barely
1079,concealer
5083,solely
5150,spending
1604,domain
1815,enter
6009,watching
678,browse
5864,urgent
1458,devalue
156,align
5582,timetable
4631,robotic
5036,smart
3235,majorly
1177,convert
646,breather
4066,portrait
3192,loss
954,click
155,alight
3086,leipzig
548,blackjack
612,bot
509,berate
3014,ladder
5914,vic
6069,wider
142,albania
2501,heave
514,bet
3123,lighter
2607,hovering
897,chisel
2554,hollow
2040,fibre
4072,posses
2181,frail
4425,refusal
3316,meagre
388,award
2197,freiburg
1732,eighty
4820,seeker
1860,evaporate
2177,fracture
5509,terrify
3388,mild
3693,official
2793,input
1321,dairy
5953,vital
3287,mascara
4762,sceptical
1531,discouraged
5607,tolerate
5262,straightforward
2139,foolish
3829,paralyse
2776,infringe
4067,portray
2140,foolishness
5739,typical
3378,microwave
3026,landscape
5896,vegan
6140,wrong
3936,pet
4064,portal
2216,fro
5679,travelled
4765,scheme
2120,flower
5597,toast
3512,murder
2102,flexibility
4144,pret
869,checked
938,clarify
4264,puzzle
3643,nuisance
6136,wreck
111,aforementioned
709,burnout
4934,showing
2891,irrationally
2244,functioning
4460,relay
4231,psychiatrist
1074,compulsively
103,afar
370,autism
4860,serotonin
3609,nonetheless
4086,pot
3260,mania
2641,hysterically
3263,manifestation
5253,stood
4850,sepsis
4853,sequence
3831,paramedic
1609,donna
3659,object
5711,tube
6112,work
48,achievable
614,bothered
2721,inclined
4117,predicted
2625,hundred
1757,embarrass
225,antibacterial
2256,fuss
209,animosity
870,cheddar
5798,unhelpful
5759,unclean
2290,gene
1262,cripple
4463,relentlessly
2467,hast
4605,ridden
1836,erode
785,caretaker
1626,downhill
458,battered
5126,spanner
2590,hospitalization
2601,housekeeper
1492,digestive
